Dia;Mes;Ano;Cota;Precip1;Precip2;Precip3
1;1;2001;56;0.37212199;0;0
2;1;2001;72.5;0;0;0
3;1;2001;68.5;21.19215393;22.30366135;30.03078461
4;1;2001;75;0;6.277363777;3.274518728
5;1;2001;74;0;4.137352943;3.834633827
6;1;2001;85.5;7.562157631;8.227149963;6.290522575
7;1;2001;93.5;9.41873455;5.421359062;4.136234283
8;1;2001;72.5;14.08282089;5.896917343;19.21625519
9;1;2001;135.5;0;0.76089251;2.283545971
10;1;2001;191;0;1.284006119;2.326631784
11;1;2001;155.5;44.9654007;37.09351349;44.5937767
12;1;2001;121.5;1.720730305;4.280020714;0.689372361
13;1;2001;96.5;32.10520554;15.93118668;29.6860981
14;1;2001;144;3.033919334;7.418702126;5.773493767
15;1;2001;156.5;3.622590065;9.511156082;7.970867634
16;1;2001;113.5;1.086777091;1.521785021;15.03693581
17;1;2001;111.5;9.554581642;23.54011345;6.764466286
18;1;2001;95.5;0.769800425;11.55605412;0
19;1;2001;77;9.282888412;2.425344944;7.324581623
20;1;2001;72.5;11.63757133;15.12273979;9.392699242
21;1;2001;77.5;28.93544006;0.713336706;4.265491486
22;1;2001;74;5.88670969;17.21519279;10.38367176
23;1;2001;78;1.856577516;0.285334706;0.990972757
24;1;2001;129.5;5.343320847;3.614239693;4.954864025
25;1;2001;96.5;9.328169823;2.04489851;7.367667198
26;1;2001;84.5;3.033919334;0.618225157;0
27;1;2001;87;5.34332037;0.665780962;0.818629682
28;1;2001;72;0.769800425;0;0
29;1;2001;73.5;0;0;0
30;1;2001;78;1.31318891;0;13.18424797
31;1;2001;87.5;0.226411879;3.186237335;0.517029285
1;2;2001;81;0;5.896917343;4.394749165
2;2;2001;76.5;1.720730305;0.332890481;0
3;2;2001;68.5;0;0;0
4;2;2001;76;0;2.542713165;2.494317055
5;2;2001;72.5;1.244198799;0.73604852;0
6;2;2001;113;0.762573481;0.936789036;12.85207558
7;2;2001;78;0;0;1.141467094
8;2;2001;60;0.12040633;0;0
9;2;2001;55;0;0;0
10;2;2001;48.5;4.936659813;4.048266888;1.310573459
11;2;2001;66.5;2.287720442;11.37529564;3.001636028
12;2;2001;57;0;3.947896719;0
13;2;2001;57;5.097201347;0;2.240657806
14;2;2001;57;2.729210377;0.73604852;1.64878583
15;2;2001;67;1.284334183;0;3.001636028
16;2;2001;142;3.331242085;7.226658344;7.187015533
17;2;2001;148;32.14849091;15.18936634;37.75296783
18;2;2001;102;1.525146961;0;0
19;2;2001;103;10.11413193;4.249007225;3.804890633
20;2;2001;106.5;7.946818352;9.86974144;6.552867413
21;2;2001;156.5;10.03386021;27.33416748;11.96426773
22;2;2001;104;12.32158089;23.35281181;26.33829689
23;2;2001;77.5;0;3.044564486;4.946357727
24;2;2001;75;0;0;0
25;2;2001;80.5;4.334628105;4.951599121;3.42440176
26;2;2001;66;2.087043047;1.60592401;0
27;2;2001;105.5;8.789662361;0;0
28;2;2001;94.5;21.91395378;6.590980053;3.297571659
1;3;2001;92.5;0;0.86987555;1.606509447
2;3;2001;102;1.525146961;6.858633995;1.395126581
3;3;2001;82.5;9.754650116;3.185988903;0
4;3;2001;94.5;5.381876469;9.268331528;5.967982769
5;3;2001;123;7.928657055;14.3369503;64.37802887
6;3;2001;218;5.670190811;19.0435257;21.75562668
7;3;2001;175;7.976709366;10.75271225;10.66618252
8;3;2001;199;41.46927643;12.12848091;14.94112015
9;3;2001;164;0;0;0.973500729
10;3;2001;99;2.498728275;0;0
11;3;2001;90;11.67674828;23.93112183;9.565703392
12;3;2001;155;0.768839478;1.592994452;0
13;3;2001;317;9.946860313;3.692851067;7.364744663
14;3;2001;368.5;0;2.280878544;8.592202187
15;3;2001;327;26.57301712;10.39066887;14.89879417
16;3;2001;250;11.38843536;11.15096283;25.35334396
17;3;2001;258.5;1.681836367;9.41314888;5.121460915
18;3;2001;252.5;6.294873238;0;0
19;3;2001;146.5;3.123410225;3.837668419;0
20;3;2001;128.5;1.489626527;0;1.650718689
21;3;2001;122.5;12.78195572;8.797674179;12.52853107
22;3;2001;114;1.057154298;4.018691063;4.782851219
23;3;2001;118;11.53259182;0;0
24;3;2001;112;15.71315765;6.263364792;10.2852478
25;3;2001;111;0.624682069;2.64292264;0
26;3;2001;104.5;2.690938234;66.7247467;6.814505577
27;3;2001;81;5.189666271;6.009934425;3.343763351
28;3;2001;90;4.276669502;0.470657468;1.227457404
29;3;2001;86;2.210413456;41.74369812;6.052635193
30;3;2001;119;5.42992878;2.534309387;2.200958252
31;3;2001;118;4.805246353;4.163508415;15.74531555
1;4;2001;80;0;0;0
2;4;2001;78;0;0;0
3;4;2001;86.5;0;4.062213898;0
4;4;2001;103;1.141468763;2.19145751;2.699999809
5;4;2001;109;0;1.603505373;0
6;4;2001;95.5;0;0;0
7;4;2001;82;3.698359013;0;0
8;4;2001;79;3.744017601;0;7.649999619
9;4;2001;70;0;0;0
10;4;2001;62;0;0;0
11;4;2001;61.5;0;0;0
12;4;2001;60.5;0;0;0
13;4;2001;63;0;0;0
14;4;2001;61;0;0;0
15;4;2001;60;7.305399895;0;0
16;4;2001;59.5;0;0;0
17;4;2001;58;0;0;0
18;4;2001;57;0;0;0
19;4;2001;56.5;0;0;0
20;4;2001;57;0;0;0
21;4;2001;57.5;0;2.993210316;0
22;4;2001;59.5;1.141468763;0;0
23;4;2001;60;0;1.763856053;0
24;4;2001;62;10.50151253;33.56671524;6.569999695
25;4;2001;87.5;49.95067215;0;20.52000046
26;4;2001;86.5;9.086091995;23.35773087;15.47999954
27;4;2001;75;24.10782051;48.47931671;31.49999809
28;4;2001;66.5;0;0;0
29;4;2001;60;0;0;0
30;4;2001;59;0;0;0
1;5;2001;54.5;0;0;0
2;5;2001;53;0;0;0
3;5;2001;51.5;0;0;0
4;5;2001;53.5;0;0;0
5;5;2001;53;0;0;0
6;5;2001;56;0;0;0
7;5;2001;58;0;0;0
8;5;2001;57;0;0;0
9;5;2001;53;0.606565654;3.783977032;0
10;5;2001;55;0.606565654;0;0.167433113
11;5;2001;55.5;0;0;0
12;5;2001;55;0;0;0
13;5;2001;55;8.589752197;4.109480381;1.482979059
14;5;2001;53.5;0.66526556;1.627516985;0
15;5;2001;53;0;0;0
16;5;2001;53;0;0;0
17;5;2001;53;0;0;0
18;5;2001;55;0;0.162751704;0.143514097
19;5;2001;56.5;0;0;0
20;5;2001;64;0;0;0
21;5;2001;65;0;0;0
22;5;2001;58;0;0;0
23;5;2001;60;0;0;0
24;5;2001;65.5;0;0;0
25;5;2001;73.5;11.87694645;13.22357655;23.63198853
26;5;2001;85.5;4.128560066;7.567954063;17.41304398
27;5;2001;80;0;0;0
28;5;2001;79.5;21.95376205;0;0.478380322
29;5;2001;64.5;7.415753841;1.953020453;0
30;5;2001;55.5;0;0;0
31;5;2001;53;0;0;0
1;6;2001;53;0;0;0
2;6;2001;53;0;0;0
3;6;2001;51;0;0;0
4;6;2001;52;0;0;0
5;6;2001;53;0;0;0
6;6;2001;53;0;0;0
7;6;2001;54.5;0;0;0
8;6;2001;53;0;0;0
9;6;2001;52;0;0;0
10;6;2001;52;0;0;0
11;6;2001;52;0;0;0
12;6;2001;52;0;0;0
13;6;2001;52;0;0;0
14;6;2001;52;0;0;0
15;6;2001;52;0;0;0
16;6;2001;51.5;0;0;0
17;6;2001;51;0;0;0
18;6;2001;51;0;0;0
19;6;2001;51;0;0;0
20;6;2001;54.5;0;0;0
21;6;2001;54.5;0;0;0
22;6;2001;55;0;0;0
23;6;2001;55;0;0;0
24;6;2001;55;0;0;0
25;6;2001;55;0;0;0
26;6;2001;54;0;0;0
27;6;2001;53.5;0;0;0
28;6;2001;56.5;0;0;0
29;6;2001;53;0;0;0
30;6;2001;54;0;0;0
1;7;2001;52;0;0;0
2;7;2001;54;0;11.96999931;0
3;7;2001;52.5;0;0;0
4;7;2001;52.5;0.029999999;0.210000008;0
5;7;2001;51;0;0.084000006;0
6;7;2001;51;0;0;0
7;7;2001;51;0;0;0
8;7;2001;51;0;0;0
9;7;2001;51;0;0.156000003;0
10;7;2001;50.5;0;0;0
11;7;2001;51;0;0;0
12;7;2001;51;0;0;0
13;7;2001;54;0;0;0
14;7;2001;53;0;0;0
15;7;2001;53;0;0;0
16;7;2001;52.5;0;0;0
17;7;2001;51.5;0;0.461999983;0
18;7;2001;51.5;0;0;0
19;7;2001;52;0;0.150000006;0
20;7;2001;54;0;0;0
21;7;2001;52.5;0;0;0
22;7;2001;51;0;0;0
23;7;2001;51.5;0;0;0
24;7;2001;51.5;0;0;0
25;7;2001;51.5;0;0;0
26;7;2001;52;0;0;0
27;7;2001;52;0.137999997;0.252000004;0.042000003
28;7;2001;52;0;0;0
29;7;2001;52.5;0;0;0
30;7;2001;53;0;0;0
31;7;2001;54;0;0;0
1;8;2001;53;0;0.197999999;0
2;8;2001;53;0;0.210000008;0
3;8;2001;53;0;1.2631917;0
4;8;2001;53;0;0.561418533;0
5;8;2001;52;0;0.245620608;0
6;8;2001;52;0;0;0
7;8;2001;51;0;0.140354633;0
8;8;2001;53.5;0;0;0
9;8;2001;53;0;0.315797895;0
10;8;2001;53;0;0.526329815;0
11;8;2001;54;0;0.245620608;0
12;8;2001;54;0;0.8421278;0
13;8;2001;53.5;0;0;0
14;8;2001;52.5;0;0.701773107;0
15;8;2001;52;0;0.456152558;0
16;8;2001;53;0;0.526329815;0
17;8;2001;53;0;0.456152558;0
18;8;2001;53.5;0;0.491241217;0
19;8;2001;53;0;0;0
20;8;2001;54;0;0.280709267;0
21;8;2001;54;0;0.491241217;0
22;8;2001;53.5;0;0.491241217;0
23;8;2001;56;0;0;0
24;8;2001;54;0.982910693;1.438634992;1.120402575
25;8;2001;53;0;0;0
26;8;2001;54;0;0;0
27;8;2001;53;6.331774235;5.438741684;3.463062525
28;8;2001;60;4.297377586;0.561418533;0
29;8;2001;58.5;0.982910693;3.824663639;0.203709573
30;8;2001;55.5;46.19680405;21.47426033;24.61490631
31;8;2001;55;8.480462074;7.403706551;14.73499107
1;9;2001;55;0;0;0
2;9;2001;55;3.405900002;13.89510918;0
3;9;2001;55.5;0;0;0
4;9;2001;56;0;0;0
5;9;2001;55;14.08460426;33.17715454;31.44550133
6;9;2001;55;1.302981019;1.570797801;0
7;9;2001;55;0;0;0
8;9;2001;55;0;0.190399736;0
9;9;2001;53.5;0;0.237999678;0
10;9;2001;54;0;0;0
11;9;2001;54.5;0;0;0
12;9;2001;54;0;10.47198677;0
13;9;2001;54;0;0;0
14;9;2001;54;0;0;0
15;9;2001;56;0;0;0
16;9;2001;57;0;0.761598945;3.798785448
17;9;2001;60;63.59788513;42.98274231;58.08975601
18;9;2001;80;4.343270302;4.855193615;12.24053001
